ticker,model,fold_id,n_train,n_test,alpha,intercept,coef_abs_sum,coef_abs_max,pred_sd_over_train_sd,C,p_up_mean,p_up_sd,single_class
WMT,Logistic (direction),4,2016,252,,0.13108792327444355,0.05606168681757362,,,0.0001,0.5325262846293596,0.00511508795391783,False
WMT,Logistic (direction),5,2268,252,,0.11851251249349506,0.3519551969433325,,,0.001,0.5361002729239996,0.03528194426527199,False
WMT,Logistic (direction),6,2520,252,,0.12954085908071153,0.3623226274558568,,,0.001,0.562908203771623,0.0350186843930932,False
WMT,Logistic (direction),7,2772,252,,0.10253142178169239,0.07406199714143184,,,0.0001,0.5256611221538466,0.007324235325876087,False
WMT,Logistic (direction),8,3024,252,,0.1019202366001705,0.0738561434404447,,,0.0001,0.526005323445291,0.009794749657215083,False
WMT,Logistic (direction),9,3276,252,,0.10746422846091035,0.06973967118428609,,,0.0001,0.5259577244590435,0.005691842430539987,False
WMT,Logistic (direction),10,3528,252,,0.12262205768351209,0.07176360336029387,,,0.0001,0.5303187116397214,0.007906928303825046,False
WMT,Logistic (direction),11,3780,252,,0.13125889335587107,0.06452921651572537,,,0.0001,0.5332837757491885,0.008102057270244408,False
JPM,Ridge (returns),0,1008,252,1000.0,0.0003804499271453557,0.00826010074867743,0.0009736236368588026,0.08902830460041815,,,,
JPM,Ridge (returns),1,1260,252,1000.0,0.0003741961163815694,0.007825862162723097,0.0009480654337888892,0.12379381069901382,,,,
JPM,Ridge (returns),2,1512,252,1000.0,0.00029675878780742394,0.007933497184556796,0.0007782235437890628,0.07744249081384807,,,,
JPM,Ridge (returns),3,1764,252,10000.0,0.0005162340107725651,0.001733322481532536,0.0001644420028913302,0.03346438856380527,,,,
JPM,Ridge (returns),4,2016,252,10000.0,0.0005785595574002345,0.0017365933986371249,0.00015440503629053152,0.041978221921879784,,,,
JPM,Ridge (returns),5,2268,252,10000.0,0.0004852124241745934,0.0017056858748811543,0.00014969180381283744,0.07610163380144618,,,,
JPM,Ridge (returns),6,2520,252,1000.0,0.0003675846773615761,0.011176651793648264,0.000978077021176126,0.2462558963791822,,,,
JPM,Ridge (returns),7,2772,252,10000.0,0.0005631004193476111,0.002908123523468578,0.0003440775690749554,0.06250946596002334,,,,
JPM,Ridge (returns),8,3024,252,1000.0,0.0004902596671355853,0.011357481822734475,0.0008031769832177098,0.17793931656311174,,,,
JPM,Ridge (returns),9,3276,252,10000.0,0.0004409046945213064,0.0027239330424594995,0.0003014966754897126,0.04070062085530195,,,,
JPM,Ridge (returns),10,3528,252,10000.0,0.0005369655084440561,0.002648646980933429,0.00029825598757564435,0.05497917028546895,,,,
JPM,Ridge (returns),11,3780,252,10000.0,0.0005686194561339969,0.002696053662322916,0.0003031471706966118,0.06769732211843105,,,,
JPM,Logistic (direction),0,1008,252,,0.03193271229326393,0.27249706393524126,,,0.001,0.5093149350470544,0.018188737654481684,False
JPM,Logistic (direction),1,1260,252,,0.0700233161037953,0.31090363506531427,,,0.001,0.5249707160960169,0.024749927372884818,False
JPM,Logistic (direction),2,1512,252,,0.04775842024772591,0.28262687966473393,,,0.001,0.5126705290380891,0.020480657329096597,False
JPM,Logistic (direction),3,1764,252,,0.07042793784226621,0.254963404296466,,,0.001,0.5197161226352104,0.020590485733421753,False
JPM,Logistic (direction),4,2016,252,,0.06750837195165053,0.05815359612435126,,,0.0001,0.5176217650456891,0.0074346635638292795,False
JPM,Logistic (direction),5,2268,252,,0.042372690060647165,0.051048953460699896,,,0.0001,0.5123229905730798,0.010578362769918949,False
JPM,Logistic (direction),6,2520,252,,0.05235458202736015,0.057743123664441835,,,0.0001,0.5144714925939419,0.010710305361331019,False
JPM,Logistic (direction),7,2772,252,,0.054921180972618555,0.0710702889502006,,,0.0001,0.5162324804551224,0.008660273201553088,False
JPM,Logistic (direction),8,3024,252,,0.04509251391846107,0.06842820125048171,,,0.0001,0.5108045043259157,0.010811274079459733,False
JPM,Logistic (direction),9,3276,252,,0.03912819310389408,0.059086370087485116,,,0.0001,0.5065599434707264,0.005816141861103199,False
JPM,Logistic (direction),10,3528,252,,0.06017858953220895,0.05561186496957252,,,0.0001,0.515495190947914,0.006464324005239111,False
JPM,Logistic (direction),11,3780,252,,0.07211481335639286,0.05510787512253537,,,0.0001,0.5189004765517484,0.006535309036395891,False
BAC,Ridge (returns),0,1008,252,1000000.0,2.4719148977410864e-05,2.505819438825073e-05,3.4794372467777345e-06,0.00026477518803187205,,,,
BAC,Ridge (returns),1,1260,252,1000000.0,-3.040488997400209e-05,2.6653349487539203e-05,3.6240198447108008e-06,0.00048087746211875976,,,,
BAC,Ridge (returns),2,1512,252,1000000.0,-0.00013331660694300567,2.7374551287462033e-05,3.17107105714508e-06,0.0003226095373637286,,,,
BAC,Ridge (returns),3,1764,252,1000000.0,0.0002444483892543089,2.970920043172919e-05,2.9751490170899226e-06,0.00034415953979773865,,,,
BAC,Ridge (returns),4,2016,252,1000000.0,0.0003469426910254905,2.957690951107454e-05,3.034597570648756e-06,0.0004258941560839798,,,,
BAC,Ridge (returns),5,2268,252,1000000.0,0.00026838429055427447,2.9164066012241352e-05,3.028292924314951e-06,0.0007670392571039759,,,,
BAC,Ridge (returns),6,2520,252,1000.0,0.0001316093186864985,0.013186753695594279,0.0016253776503309322,0.18049126446624647,,,,
BAC,Ridge (returns),7,2772,252,1000.0,0.00034421041593210886,0.014021352242382986,0.0013305966163082317,0.10597531135675697,,,,
BAC,Ridge (returns),8,3024,252,1000.0,0.0003573337119788938,0.013976407508462702,0.0012071304275258102,0.15437091004996098,,,,
BAC,Ridge (returns),9,3276,252,1000.0,0.00021348193048042737,0.01395775083305587,0.0011010536500648254,0.08908127823793212,,,,
BAC,Ridge (returns),10,3528,252,1000000.0,0.0002840514613974924,4.603179208833367e-05,6.468856304774291e-06,0.0007482782272610948,,,,
BAC,Ridge (returns),11,3780,252,1000000.0,0.0003094224716887514,4.61510900708528e-05,6.169756268428922e-06,0.0009180300852149868,,,,
BAC,Logistic (direction),0,1008,252,,-0.03577715787167002,0.24902432824163262,,,0.001,0.48890903482253073,0.014250122318970288,False
BAC,Logistic (direction),1,1260,252,,-0.03174865710796096,0.0460155817957621,,,0.0001,0.4924967491959936,0.005602379214014513,False
BAC,Logistic (direction),2,1512,252,,-0.052962573698357156,0.2671539549872785,,,0.001,0.4875541957036264,0.018616212443284198,False
BAC,Logistic (direction),3,1764,252,,-0.006779303511201342,0.29225143907891205,,,0.001,0.49904178580376507,0.020686094981889346,False
